Day;Category Title;% de total Eventos
27/4/2018;Travel & Events;4,615384615%
28/4/2018;Travel & Events;3,030303030%
29/4/2018;Travel & Events;3,076923077%
30/4/2018;Travel & Events;4,545454545%
1/5/2018;Travel & Events;6,153846154%
2/5/2018;Travel & Events;4,6875%
3/5/2018;Travel & Events;3,174603175%
4/5/2018;Travel & Events;4,615384615%
5/5/2018;Travel & Events;4,477611940%
6/5/2018;Travel & Events;1,612903226%
8/5/2018;Travel & Events;1,587301587%
9/5/2018;Travel & Events;3,030303030%
10/5/2018;Travel & Events;3,125%
11/5/2018;Travel & Events;4,347826087%
12/5/2018;Travel & Events;1,492537313%
13/5/2018;Travel & Events;4,411764706%
14/5/2018;Travel & Events;3,125%
15/5/2018;Travel & Events;2,985074627%
16/5/2018;Travel & Events;3,030303030%
17/5/2018;Travel & Events;3,076923077%
18/5/2018;Travel & Events;5,882352941%
19/5/2018;Travel & Events;3,174603175%
20/5/2018;Travel & Events;3,389830508%
21/5/2018;Travel & Events;4,477611940%
22/5/2018;Travel & Events;4,545454545%
23/5/2018;Travel & Events;3,030303030%
24/5/2018;Travel & Events;4,477611940%
25/5/2018;Travel & Events;4,411764706%
26/5/2018;Travel & Events;4,545454545%
27/5/2018;Travel & Events;4,477611940%
28/5/2018;Travel & Events;3,125%
29/5/2018;Travel & Events;3,125%
30/5/2018;Travel & Events;3,030303030%
31/5/2018;Travel & Events;4,477611940%
1/6/2018;Travel & Events;4,411764706%
2/6/2018;Travel & Events;3,030303030%
3/6/2018;Travel & Events;2,898550725%
4/6/2018;Travel & Events;4,545454545%
5/6/2018;Travel & Events;1,492537313%
6/6/2018;Travel & Events;3,030303030%
7/6/2018;Travel & Events;4,615384615%
8/6/2018;Travel & Events;3,174603175%
9/6/2018;Travel & Events;3,174603175%
10/6/2018;Travel & Events;4,761904762%
11/6/2018;Travel & Events;4,6875%
12/6/2018;Travel & Events;3,076923077%
13/6/2018;Travel & Events;4,615384615%
14/6/2018;Travel & Events;4,477611940%
13/5/2018;Trailers;1,470588235%
14/5/2018;Trailers;1,5625%
14/11/2017;Sports;7,407407407%
15/11/2017;Sports;7,142857143%
16/11/2017;Sports;7,142857143%
17/11/2017;Sports;7,407407407%
18/11/2017;Sports;7,142857143%
19/11/2017;Sports;7,547169811%
20/11/2017;Sports;7,547169811%
21/11/2017;Sports;7,407407407%
22/11/2017;Sports;7,692307692%
23/11/2017;Sports;7,407407407%
24/11/2017;Sports;7,547169811%
25/11/2017;Sports;7,272727273%
26/11/2017;Sports;7,407407407%
27/11/2017;Sports;7,407407407%
28/11/2017;Sports;7,407407407%
29/11/2017;Sports;7,407407407%
30/11/2017;Sports;7,843137255%
1/12/2017;Sports;7,272727273%
2/12/2017;Sports;7,272727273%
3/12/2017;Sports;7,547169811%
4/12/2017;Sports;7,407407407%
5/12/2017;Sports;7,272727273%
6/12/2017;Sports;7,142857143%
7/12/2017;Sports;7,142857143%
8/12/2017;Sports;7,407407407%
9/12/2017;Sports;7,017543860%
10/12/2017;Sports;7,272727273%
11/12/2017;Sports;7,692307692%
12/12/2017;Sports;7,272727273%
13/12/2017;Sports;7,547169811%
14/12/2017;Sports;7,843137255%
15/12/2017;Sports;8%
16/12/2017;Sports;7,142857143%
17/12/2017;Sports;7,547169811%
18/12/2017;Sports;7,692307692%
19/12/2017;Sports;7,272727273%
20/12/2017;Sports;5,660377358%
21/12/2017;Sports;7,407407407%
22/12/2017;Sports;7,547169811%
23/12/2017;Sports;7,407407407%
24/12/2017;Sports;8,163265306%
25/12/2017;Sports;7,843137255%
26/12/2017;Sports;5,769230769%
27/12/2017;Sports;7,547169811%
28/12/2017;Sports;7,407407407%
29/12/2017;Sports;7,272727273%
30/12/2017;Sports;7,272727273%
31/12/2017;Sports;7,843137255%
1/1/2018;Sports;7,692307692%
2/1/2018;Sports;7,547169811%
